11.8816 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.9997 	DATA 	EmulatedKey: 5
12.0323 	EXP 	wf_show_ShapeStim_whitecross - REPORTING
12.0744 	EXP 	Created BufferImageStim_stim = BufferImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=True, mask='None', maskParams=None, name='BufferImageStim_stim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1440.,  900.]), texRes=128, units='pix', win=Window(...))
12.0744 	EXP 	BufferImageStim BufferImageStim_stim: took 26.5ms to initialize
12.0999 	EXP 	Created BufferImageStim_mask = BufferImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=True, mask='None', maskParams=None, name='BufferImageStim_mask', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1440.,  900.]), texRes=128, units='pix', win=Window(...))
12.0999 	EXP 	BufferImageStim BufferImageStim_mask: took 24.0ms to initialize
12.4065 	DATA 	Keypress: r
13.5147 	DATA 	ll_TRIAL_end 1
13.5202 	DATA 	ll_TRIAL_start 2
13.5323 	EXP 	TextStim_stim0: text = 'L'
13.5323 	EXP 	TextStim_stim1: text = 'H'
13.5323 	EXP 	TextStim_stim2: text = 'Z'
13.5323 	EXP 	TextStim_stim3: text = 'K'
13.5323 	EXP 	ImageStim_mask0: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask2.bmp'
13.5323 	EXP 	ImageStim_mask1: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask4.bmp'
13.5323 	EXP 	ImageStim_mask2: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask3.bmp'
13.5323 	EXP 	ImageStim_mask3: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask5.bmp'
13.5323 	EXP 	TextStim_probe: text = 'B'
13.5323 	EXP 	wf_show_ShapeStim_redcross 0
13.7321 	EXP 	wf_show_BufferImageStim_cue0conf1
13.9997 	DATA 	EmulatedKey: 5
14.0327 	EXP 	wf_show_ShapeStim_redcross 1
14.3330 	EXP 	wf_show_STIM
14.5332 	EXP 	wf_show_MASK
14.8329 	EXP 	wf_show_ShapeStim_redcross 2
15.0329 	EXP 	wf_show_TextStim_probe
15.2330 	EXP 	wf_show_ShapeStim_whitecross - REPORTING
15.2660 	EXP 	Created BufferImageStim_stim = BufferImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=True, mask='None', maskParams=None, name='BufferImageStim_stim', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1440.,  900.]), texRes=128, units='pix', win=Window(...))
15.2660 	EXP 	BufferImageStim BufferImageStim_stim: took 24.3ms to initialize
15.2930 	EXP 	Created BufferImageStim_mask = BufferImageStim(autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=True, mask='None', maskParams=None, name='BufferImageStim_mask', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1440.,  900.]), texRes=128, units='pix', win=Window(...))
15.2930 	EXP 	BufferImageStim BufferImageStim_mask: took 25.4ms to initialize
15.5566 	DATA 	Keypress: b
15.9997 	DATA 	EmulatedKey: 5
16.7166 	DATA 	ll_TRIAL_end 2
16.7172 	DATA 	ll_TRIAL_start 3
16.7337 	EXP 	TextStim_stim0: text = 'L'
16.7337 	EXP 	TextStim_stim1: text = 'B'
16.7337 	EXP 	TextStim_stim2: text = 'D'
16.7337 	EXP 	TextStim_stim3: text = 'K'
16.7337 	EXP 	ImageStim_mask0: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask4.bmp'
16.7337 	EXP 	ImageStim_mask1: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask1.bmp'
16.7337 	EXP 	ImageStim_mask2: image = '/Users/Lulu/Documents/Experiments/WP2c_eccentricity/Paradigm/Session 2/masks/Mask8.bmp'
