L10,L5,R5,R10,B10,B5
70.3125,75.8064516129032,75.4098360655738,70,72.8813559322034,64.7058823529412
50.6024096385542,51.875,53.6585365853659,50.3030303030303,49.112426035503,53.3742331288344
56.3157894736842,61.4130434782609,60.1063829787234,57.4468085106383,54.2553191489362,63.0434782608696
72.2826086956522,70.3296703296703,72.1590909090909,74.1573033707865,70.391061452514,74.7126436781609
59.6590909090909,64.6408839779006,61.4130434782609,58.2857142857143,62.2093023255814,63.2183908045977
59.1463414634146,54.4378698224852,61.046511627907,60.2564102564103,61.6352201257862,58.0838323353293
62.9370629370629,64.4927536231884,63.6363636363636,62.8787878787879,66.9064748201439,65.7718120805369
61.4942528735632,67.4285714285714,65.1162790697674,63.8888888888889,63.8888888888889,66.2721893491124
42.4778761061947,53.2846715328467,50.4,44,51.7006802721088,57.5949367088608
62.5766871165644,60.9756097560976,70.5521472392638,67.4698795180723,63.3540372670807,73.5294117647059
71.6666666666667,73.4375,73.469387755102,75,79.5454545454545,72
44.6969696969697,54.3478260869565,51.7006802721088,48.6111111111111,50.3875968992248,57.4626865671642
56.551724137931,52.2058823529412,52.6315789473684,46.3768115942029,47.4452554744526,53.3783783783784
61.5384615384615,63.1578947368421,56.25,75,68,53.8461538461538
66.6666666666667,68.75,71.6763005780347,65.8959537572254,66.6666666666667,71.5083798882682
55.3072625698324,57.6086956521739,58.0645161290323,49.4444444444444,58.8888888888889,63.3879781420765
